Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1602.29879627907
FDW14,OUT017,1412.156205042017
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2222.6712822580657
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2778.989278
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1412.156205042017
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2063.6157398550713
DRL59,OUT013,713.858654545455
FDM24,OUT049,2490.526886705201
FDI57,OUT045,2863.7009142857155
DRC12,OUT018,3059.616388811189
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.6316958762886
NCJ31,OUT035,3719.0643283783793
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3387.2047231707293
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2222.6712822580657
DRC27,OUT046,3877.319590000002
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339806
FDX51,OUT018,3059.616388811189
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181818
NCF18,OUT017,3216.7914510638293
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.6316958762886
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1602.29879627907
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3387.2047231707293
FDF41,OUT035,3719.0643283783793
FDU34,OUT046,2063.6157398550713
DRH11,OUT046,842.2509434554976
FDM03,OUT013,1602.29879627907
FDS31,OUT017,3387.2047231707293
FDJ20,OUT017,2063.6157398550713
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2778.989278
FDA09,OUT013,2851.6316958762886
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1353.0650169014086
FDW12,OUT035,2490.526886705201
FDL51,OUT017,3877.319590000002
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2490.526886705201
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3387.2047231707293
NCW42,OUT045,3877.319590000002
NCX06,OUT049,2568.332833644861
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3719.0643283783793
NCG06,OUT045,4034.300306896552
DRC36,OUT045,2851.6316958762886
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.688490740742
NCH29,OUT046,1559.342975268818
FDU58,OUT013,3059.616388811189
FDY27,OUT017,2851.6316958762886
FDV56,OUT035,1784.4287381818187
FDT59,OUT046,3662.4659300000003
FDB23,OUT046,3662.4659300000003
FDR49,OUT045,798.2176035398231
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.688490740742
NCT29,OUT013,2063.6157398550713
FDZ27,OUT046,798.2176035398231
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.847021848739
