Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1733.390625
FDW14,OUT017,1471.03125
NCN55,OUT010,2488.5390625
FDQ58,OUT017,2152.5
FDY38,OUT027,5302.96875
FDH56,OUT046,1941.6328125
FDL48,OUT018,288.765625
FDC48,OUT027,3357.65625
FDN33,OUT045,1002.3828125
FDA36,OUT017,2345.78125
FDT44,OUT017,1645.921875
FDQ56,OUT045,1665.0859375
NCC54,OUT019,2338.1015625
FDU11,OUT049,1756.1328125
DRL59,OUT013,1586.11328125
FDM24,OUT049,1982.03125
FDI57,OUT045,3841.9375
DRC12,OUT018,1994.17578125
NCM42,OUT027,2945.03125
FDA46,OUT010,1567.09375
FDA31,OUT013,2093.609375
NCJ31,OUT035,3441.21875
FDG52,OUT046,447.7421875
NCL19,OUT019,352.3359375
FDS10,OUT035,3068.640625
FDX22,OUT010,1688.3359375
NCF19,OUT035,833.046875
NCE06,OUT046,1727.484375
DRC27,OUT046,3087.9296875
FDE21,OUT035,1868.125
NCR42,OUT019,-1107.8203125
FDX51,OUT018,2681.1640625
NCR06,OUT018,452.0390625
FDU31,OUT027,4352.6484375
FDU59,OUT017,3123.3359375
FDR03,OUT027,5582.609375
FDS49,OUT027,2930.6328125
FDD48,OUT010,268.171875
NCF18,OUT017,3953.2265625
NCD43,OUT027,3132.25
NCD54,OUT018,2043.4296875
FDY19,OUT010,480.1484375
NCY54,OUT017,2924.1484375
NCL19,OUT018,1969.234375
FDP23,OUT010,1488.1171875
FDC26,OUT013,1584.7421875
FDR14,OUT010,-1441.8515625
NCS41,OUT035,1455.640625
FDF41,OUT035,3899.5234375
FDU34,OUT046,2004.125
DRH11,OUT046,668.328125
FDM03,OUT013,1283.3046875
FDS31,OUT017,2770.984375
FDJ20,OUT017,1957.390625
FDV44,OUT027,3827.1953125
FDG02,OUT049,2103.40625
FDA09,OUT013,3141.7734375
FDT04,OUT013,893.328125
FDL58,OUT019,2165.28125
FDE52,OUT045,1963.4453125
FDW12,OUT035,2215.3125
FDL51,OUT017,3008.296875
NCY42,OUT027,4152.90625
FDR07,OUT017,1361.03125
FDN40,OUT045,2422.7265625
FDB35,OUT027,3200.40625
FDA22,OUT017,3503.3828125
NCL06,OUT046,3386.4140625
FDI35,OUT013,3973.796875
NCW42,OUT045,3073.0234375
NCX06,OUT049,3031.421875
FDC37,OUT027,4103.65625
FDZ14,OUT018,1746.0859375
DRG49,OUT049,3955.5078125
NCG06,OUT045,2773.4921875
DRC36,OUT045,2562.6640625
FDV21,OUT019,10.7109375
FDB53,OUT046,3246.0546875
DRP47,OUT019,1922.78125
FDA14,OUT013,1961.28125
DRC24,OUT035,3445.34765625
FDW21,OUT018,1107.75
NCH29,OUT046,1852.4609375
FDU58,OUT013,2751.1328125
FDY27,OUT017,2128.6171875
FDV56,OUT035,467.3984375
FDT59,OUT046,3536.5703125
FDB23,OUT046,3660.6875
FDR49,OUT045,915.75
FDB03,OUT010,1592.4609375
FDN39,OUT045,2472.296875
FDX02,OUT027,5602.9296875
FDQ16,OUT027,3719.0625
FDU35,OUT018,1788.0703125
NCT29,OUT013,1712.890625
FDZ27,OUT046,853.203125
FDN57,OUT017,2559.75
FDA03,OUT018,2103.0
FDZ36,OUT045,3363.9765625
NCU05,OUT013,1250.4921875
FDT39,OUT018,2317.5078125
FDK60,OUT017,1641.1484375
FDZ25,OUT017,3149.484375
FDG12,OUT046,2211.96875
DRB01,OUT019,-954.9765625
NCC43,OUT027,4031.4453125
FDX13,OUT019,2588.0625
FDM22,OUT049,1290.40625
FDJ03,OUT027,2733.5703125
FDU14,OUT018,3981.9453125
FDB33,OUT010,1384.0703125
FDP27,OUT046,3144.28125
FDO38,OUT010,-930.671875
FDE28,OUT027,5108.28125
FDO27,OUT035,1706.7890625
DRL23,OUT027,3231.01953125
FDS28,OUT046,373.625
FDX24,OUT013,1544.4765625
FDZ02,OUT035,948.0
FDL46,OUT045,1180.1796875
FDS60,OUT027,3745.6171875
NCO06,OUT017,522.2890625
FDO16,OUT035,2289.8203125
FDC60,OUT049,2381.921875
FDA48,OUT018,4190.78125
FDZ36,OUT027,4881.9296875
FDK27,OUT045,1681.8203125
FDW23,OUT018,584.4140625
FDM14,OUT018,1354.6328125
FDM14,OUT013,1645.1875
FDW60,OUT018,2446.3125
FDE21,OUT013,1730.484375
NCM42,OUT035,1663.6953125
FDY59,OUT010,-1097.3828125
DRI49,OUT049,1400.5546875
FDT28,OUT019,467.8203125
FDQ22,OUT018,-167.46875
FDR60,OUT049,584.3359375
FDC50,OUT019,-210.1171875
FDV24,OUT013,2005.2734375
DRF48,OUT010,-371.703125
FDQ47,OUT046,1010.3125
DRN36,OUT049,1539.7109375
NCY06,OUT035,2274.75
FDE52,OUT035,2191.2109375
NCB54,OUT045,1627.6484375
NCF31,OUT035,1977.59375
FDJ08,OUT027,4782.6875
NCC07,OUT017,1301.3671875
NCD19,OUT027,2423.7109375
FDL46,OUT049,1325.390625
FDM20,OUT045,4565.375
NCI06,OUT010,1584.828125
DRM11,OUT035,3749.6328125
NCH07,OUT018,2449.8671875
FDS23,OUT013,2141.890625
