Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1602.2987962790692
FDW14,OUT017,1412.1562050420166
NCN55,OUT010,584.7577647727268
FDQ58,OUT017,2222.6712822580644
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.149381714285
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.3429752688173
FDA36,OUT017,2778.9892779999996
FDT44,OUT017,1922.149381714285
FDQ56,OUT045,1412.1562050420166
NCC54,OUT019,584.7577647727268
FDU11,OUT049,2063.6157398550713
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,2863.7009142857123
DRC12,OUT018,3059.6163888111887
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.6995426229505
FDA31,OUT013,2851.6316958762886
NCJ31,OUT035,3719.064328378379
FDG52,OUT046,798.2176035398223
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3387.2047231707306
FDX22,OUT010,584.7577647727268
NCF19,OUT035,798.2176035398223
NCE06,OUT046,2222.6712822580644
DRC27,OUT046,3877.3195900000014
FDE21,OUT035,1922.149381714285
NCR42,OUT019,92.675481553398
FDX51,OUT018,3059.6163888111887
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444445
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444445
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181818
NCF18,OUT017,3216.79145106383
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000004
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.6316958762886
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727268
FDC26,OUT013,1602.2987962790692
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3387.2047231707306
FDF41,OUT035,3719.064328378379
FDU34,OUT046,2063.6157398550713
DRH11,OUT046,842.2509434554973
FDM03,OUT013,1602.2987962790692
FDS31,OUT017,3387.2047231707306
FDJ20,OUT017,2063.6157398550713
FDV44,OUT027,5329.314724444445
FDG02,OUT049,2778.9892779999996
FDA09,OUT013,2851.6316958762886
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727268
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3877.3195900000014
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.3429752688173
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.3003068965495
FDI35,OUT013,3387.2047231707306
NCW42,OUT045,3877.3195900000014
NCX06,OUT049,2568.3328336448594
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000004
DRG49,OUT049,3719.064328378379
NCG06,OUT045,4034.3003068965495
DRC36,OUT045,2851.6316958762886
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.950403030303
DRP47,OUT019,584.7577647727268
FDA14,OUT013,2660.950403030303
DRC24,OUT035,2660.950403030303
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1559.3429752688173
FDU58,OUT013,3059.6163888111887
FDY27,OUT017,2851.6316958762886
FDV56,OUT035,1784.4287381818176
FDT59,OUT046,3662.4659299999994
FDB23,OUT046,3662.4659299999994
FDR49,OUT045,798.2176035398223
FDB03,OUT010,584.7577647727268
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444445
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,2063.6157398550713
FDZ27,OUT046,798.2176035398223
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3387.2047231707306
NCU05,OUT013,1240.3673076086955
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1559.3429752688173
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2243.098194594595
DRB01,OUT019,482.6995426229505
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727268
FDM22,OUT049,842.2509434554973
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.89728372093026
FDP27,OUT046,3216.79145106383
FDO38,OUT010,165.9185816513762
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1559.3429752688173
DRL23,OUT027,2517.882088484848
FDS28,OUT046,842.2509434554973
FDX24,OUT013,1460.7407669724766
FDZ02,OUT035,1559.3429752688173
FDL46,OUT045,1827.8328454545458
FDS60,OUT027,5329.314724444445
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1412.1562050420166
FDC60,OUT049,1412.1562050420166
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444445
FDK27,OUT045,1827.8328454545458
FDW23,OUT018,507.04640366972495
FDM14,OUT018,1372.6884907407414
FDM14,OUT013,1602.2987962790692
FDW60,OUT018,2851.6316958762886
FDE21,OUT013,1922.149381714285
NCM42,OUT035,1879.05405
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1240.3673076086955
FDT28,OUT019,346.89728372093026
FDQ22,OUT018,507.04640366972495
FDR60,OUT049,1240.3673076086955
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,482.6995426229505
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1559.3429752688173
NCY06,OUT035,2063.6157398550713
FDE52,OUT035,1353.0650169014084
NCB54,OUT045,1827.8328454545458
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444445
NCC07,OUT017,1602.2987962790692
NCD19,OUT027,1378.263185276074
FDL46,OUT049,2063.6157398550713
FDM20,OUT045,4332.779102857145
NCI06,OUT010,425.9355914529914
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.84702184874
FDS23,OUT013,2063.6157398550713
FDO49,OUT018,713.8586545454551
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1412.1562050420166
DRI39,OUT049,842.2509434554973
FDV04,OUT017,2222.6712822580644
NCN14,OUT035,3387.2047231707306
FDH08,OUT013,3662.4659299999994
FDS20,OUT046,3387.2047231707306
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2568.3328336448594
FDS48,OUT045,2660.950403030303
FDK26,OUT010,482.6995426229505
FDD23,OUT045,3059.6163888111887
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.675481553398
FDV24,OUT017,2490.5268867052023
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.0620715328487
FDR39,OUT027,5329.314724444445
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1784.4287381818176
FDF50,OUT018,3216.79145106383
FDG28,OUT035,3877.3195900000014
NCE19,OUT017,842.2509434554973
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1602.2987962790692
