Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1671.8579
FDW14,OUT017,1369.025
NCN55,OUT010,634.39294
FDQ58,OUT017,2485.6736
FDY38,OUT027,6002.3496
FDH56,OUT046,1905.8787
FDL48,OUT018,623.9883
FDC48,OUT027,2218.4678
FDN33,OUT045,1515.9456
FDA36,OUT017,3084.2966
FDT44,OUT017,1905.8787
FDQ56,OUT045,1356.7173
NCC54,OUT019,634.39294
FDU11,OUT049,2044.6967
DRL59,OUT013,845.31006
FDM24,OUT049,2485.6736
FDI57,OUT045,3064.482
DRC12,OUT018,2858.2742
NCM42,OUT027,2886.0212
FDA46,OUT010,523.12445
FDA31,OUT013,2857.1013
NCJ31,OUT035,3866.4453
FDG52,OUT046,812.4019
NCL19,OUT019,398.72592
FDS10,OUT035,2956.0242
FDX22,OUT010,635.26447
NCF19,OUT035,850.2495
NCE06,OUT046,2634.264
DRC27,OUT046,3881.5227
FDE21,OUT035,1943.7263
NCR42,OUT019,65.29926
FDX51,OUT018,2858.2742
NCR06,OUT018,532.8817
FDU31,OUT027,5480.25
FDU59,OUT017,2634.264
FDR03,OUT027,5257.6304
FDS49,OUT027,2218.4678
FDD48,OUT010,365.32654
NCF18,OUT017,3111.9182
NCD43,OUT027,2660.4285
NCD54,OUT018,1785.1355
FDY19,OUT010,365.32654
NCY54,OUT017,2857.1013
NCL19,OUT018,2213.9443
FDP23,OUT010,599.39545
FDC26,OUT013,1858.9852
FDR14,OUT010,200.54211
NCS41,OUT035,3109.526
FDF41,OUT035,3895.9568
FDU34,OUT046,2044.6967
DRH11,OUT046,913.6621
FDM03,OUT013,1671.8579
FDS31,OUT017,2947.6882
FDJ20,OUT017,2044.6967
FDV44,OUT027,5211.001
FDG02,OUT049,3084.2966
FDA09,OUT013,2947.6882
FDT04,OUT013,721.29535
FDL58,OUT019,694.7619
FDE52,OUT045,1418.8379
FDW12,OUT035,2523.521
FDL51,OUT017,3483.763
NCY42,OUT027,3193.5923
FDR07,OUT017,1454.7563
FDN40,OUT045,2438.2373
FDB35,OUT027,2462.4604
FDA22,OUT017,2634.264
NCL06,OUT046,3988.182
FDI35,OUT013,2947.6882
NCW42,OUT045,3635.6453
NCX06,OUT049,2947.6882
FDC37,OUT027,2660.4285
FDZ14,OUT018,1816.5414
DRG49,OUT049,3881.5227
NCG06,OUT045,3940.7456
DRC36,OUT045,2809.665
FDV21,OUT019,373.79572
FDB53,OUT046,2485.6736
DRP47,OUT019,715.79083
FDA14,OUT013,2485.6736
DRC24,OUT035,2523.521
FDW21,OUT018,1483.4446
NCH29,OUT046,1528.2533
