Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1622.0024
FDW14,OUT017,1384.9318
NCN55,OUT010,631.67786
FDQ58,OUT017,2488.2222
FDY38,OUT027,5926.688
FDH56,OUT046,1885.8477
FDL48,OUT018,594.23346
FDC48,OUT027,2237.5107
FDN33,OUT045,1456.0243
FDA36,OUT017,3037.589
FDT44,OUT017,1914.2385
FDQ56,OUT045,1323.3777
NCC54,OUT019,652.9444
FDU11,OUT049,2055.468
DRL59,OUT013,829.22656
FDM24,OUT049,2440.4646
FDI57,OUT045,3425.101
DRC12,OUT018,2751.907
NCM42,OUT027,2843.6426
FDA46,OUT010,514.389
FDA31,OUT013,2856.6272
NCJ31,OUT035,3899.3862
FDG52,OUT046,792.504
NCL19,OUT019,367.25272
FDS10,OUT035,2978.3677
FDX22,OUT010,606.8237
NCF19,OUT035,864.68744
NCE06,OUT046,2484.7615
DRC27,OUT046,3893.9885
FDE21,OUT035,1964.2599
NCR42,OUT019,12.7175665
FDX51,OUT018,2800.643
NCR06,OUT018,506.88303
FDU31,OUT027,5537.417
FDU59,OUT017,2629.4814
FDR03,OUT027,5199.753
FDS49,OUT027,2191.2168
FDD48,OUT010,333.43893
NCF18,OUT017,3424.6965
NCD43,OUT027,2665.4077
NCD54,OUT018,1699.786
FDY19,OUT010,322.1119
NCY54,OUT017,2871.8308
NCL19,OUT018,2181.9744
FDP23,OUT010,588.907
FDC26,OUT013,1846.8969
FDR14,OUT010,199.74187
NCS41,OUT035,2801.3982
FDF41,OUT035,3908.2415
FDU34,OUT046,2050.752
DRH11,OUT046,881.8847
FDM03,OUT013,1662.9078
FDS31,OUT017,2945.995
FDJ20,OUT017,2066.5745
FDV44,OUT027,5356.3135
FDG02,OUT049,2661.9712
FDA09,OUT013,2923.8333
FDT04,OUT013,687.59814
FDL58,OUT019,684.2495
FDE52,OUT045,1342.546
FDW12,OUT035,2538.2432
FDL51,OUT017,3486.6387
NCY42,OUT027,3196.4788
FDR07,OUT017,1385.9259
FDN40,OUT045,2357.1924
FDB35,OUT027,2524.6633
FDA22,OUT017,2665.9001
NCL06,OUT046,3991.2583
FDI35,OUT013,2869.5547
NCW42,OUT045,3601.8125
NCX06,OUT049,2934.6562
FDC37,OUT027,2671.6365
FDZ14,OUT018,1796.688
DRG49,OUT049,3898.5828
NCG06,OUT045,3050.876
DRC36,OUT045,2790.4067
FDV21,OUT019,307.9754
FDB53,OUT046,2655.3252
DRP47,OUT019,707.83026
FDA14,OUT013,2472.289
DRC24,OUT035,2544.472
FDW21,OUT018,1461.3118
NCH29,OUT046,1510.8511
FDU58,OUT013,3148.2375
FDY27,OUT017,2698.0674
FDV56,OUT035,1542.0269
FDT59,OUT046,3867.5796
FDB23,OUT046,3588.4893
FDR49,OUT045,746.88306
FDB03,OUT010,582.2838
FDN39,OUT045,2543.0854
FDX02,OUT027,5770.967
FDQ16,OUT027,2654.0803
FDU35,OUT018,1394.4225
NCT29,OUT013,2068.308
FDZ27,OUT046,786.275
FDN57,OUT017,2128.9658
FDA03,OUT018,2164.4182
FDZ36,OUT045,3039.3696
NCU05,OUT013,1326.649
FDT39,OUT018,2139.327
FDK60,OUT017,1553.8947
FDZ25,OUT017,2745.5322
FDG12,OUT046,2062.0793
DRB01,OUT019,-211.05423
NCC43,OUT027,5806.4756
FDX13,OUT019,708.55945
FDM22,OUT049,872.06714
FDJ03,OUT027,1351.0647
FDU14,OUT018,3667.687
FDB33,OUT010,473.69937
FDP27,OUT046,3148.2375
FDO38,OUT010,253.35959
FDE28,OUT027,5943.9434
FDO27,OUT035,1576.076
DRL23,OUT027,2654.0803
FDS28,OUT046,896.5372
FDX24,OUT013,1502.2091
FDZ02,OUT035,1371.3239
FDL46,OUT045,1762.8352
FDS60,OUT027,4682.91
NCO06,OUT017,666.82513
FDO16,OUT035,1420.3004
FDC60,OUT049,1358.9406
FDA48,OUT018,3131.987
FDZ36,OUT027,5032.136
FDK27,OUT045,1989.6296
FDW23,OUT018,486.0016
FDM14,OUT018,1598.744
FDM14,OUT013,1662.9078
FDW60,OUT018,2564.617
FDE21,OUT013,1892.0767
NCM42,OUT035,1714.2094
FDY59,OUT010,272.48965
DRI49,OUT049,1336.7432
FDT28,OUT019,368.36288
FDQ22,OUT018,506.88303
FDR60,OUT049,1268.6256
FDC50,OUT019,285.47888
FDV24,OUT013,2429.6416
DRF48,OUT010,488.56857
FDQ47,OUT046,655.99036
DRN36,OUT049,1542.5562
NCY06,OUT035,2142.8225
FDE52,OUT035,1469.556
NCB54,OUT045,1991.9613
NCF31,OUT035,2538.2432
FDJ08,OUT027,5205.7896
NCC07,OUT017,1667.5138
NCD19,OUT027,1698.6094
FDL46,OUT049,1800.5872
FDM20,OUT045,4055.5999
